Type                                  Module                      Label             Process   
----------------------------------------------------------------------------------------------
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "HLT"     
edm::TriggerResults                   "TriggerResults"            ""                "HLT"     
trigger::TriggerEvent                 "hltTriggerSummaryAOD"      ""                "HLT"     
BXVector<GlobalAlgBlk>                "hltGtStage2Digis"          ""                "MYHLT"   
BXVector<GlobalAlgBlk>                "hltGtStage2ObjectMap"      ""                "MYHLT"   
BXVector<GlobalExtBlk>                "hltGtStage2Digis"          ""                "MYHLT"   
BXVector<float>                       "hltGtStage2Digis"          "CICADAScore"     "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma"          "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma2"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma3"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma4"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma5"         "MYHLT"   
BXVector<l1t::EGamma>                 "hltGtStage2Digis"          "EGamma6"         "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum"           "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum2"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum3"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum4"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum5"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSum6"          "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSumZDC"        "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSumZDC2"       "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSumZDC3"       "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSumZDC4"       "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSumZDC5"       "MYHLT"   
BXVector<l1t::EtSum>                  "hltGtStage2Digis"          "EtSumZDC6"       "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet"             "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet2"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet3"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet4"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet5"            "MYHLT"   
BXVector<l1t::Jet>                    "hltGtStage2Digis"          "Jet6"            "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon"            "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon2"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon3"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon4"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon5"           "MYHLT"   
BXVector<l1t::Muon>                   "hltGtStage2Digis"          "Muon6"           "MYHLT"   
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower"      "MYHLT"   
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower2"     "MYHLT"   
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower3"     "MYHLT"   
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower4"     "MYHLT"   
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower5"     "MYHLT"   
BXVector<l1t::MuonShower>             "hltGtStage2Digis"          "MuonShower6"     "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau"             "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau2"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau3"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau4"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau5"            "MYHLT"   
BXVector<l1t::Tau>                    "hltGtStage2Digis"          "Tau6"            "MYHLT"   
GlobalObjectMapRecord                 "hltGtStage2ObjectMap"      ""                "MYHLT"   
edm::AssociationMap<edm::OneToOne<vector<Trajectory>,vector<reco::GsfTrack>,unsigned short> >    "hltEgammaGsfTracks"        ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShape"     ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaClusterShapeUnseeded"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaEcalPFClusterIso"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaEcalPFClusterIsoDr0p2"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaEleGsfTrackIso"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaHcalPFClusterIso"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaHoverE"           ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaHoverEUnseeded"   ""                "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Chi2"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Deta"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "DetaSeed"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "Dphi"            "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "MissingHits"     "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "NLayerIT"        "MYHLT"   
edm::AssociationMap<edm::OneToValue<vector<reco::RecoEcalCandidate>,float,unsigned int> >    "hltEgammaGsfTrackVars"     "OneOESeedMinusOneOP"   "MYHLT"   
